,recipient,date,quantity,sales
0,10016,2015-02-01,121266.0,16185.0
1,10016,2015-03-01,210701.0,22433.0
2,10016,2015-04-01,253785.0,32850.0
3,10016,2015-05-01,9841.0,3730.0
4,10016,2015-06-01,658753.0,83002.0
5,10016,2015-07-01,9846.0,2956.0
6,10016,2015-08-01,67885.0,29661.0
7,10016,2015-09-01,103020.0,18429.0
8,10016,2015-10-01,55694.0,5528.0
9,10016,2015-11-01,390183.0,39056.0
10,10016,2015-12-01,94516.0,46252.0
11,10016,2016-01-01,90410.0,19357.0
12,10016,2016-02-01,73237.0,12793.0
13,10016,2016-03-01,23843.0,7388.0
14,10016,2016-04-01,291239.0,30723.0
15,10016,2016-05-01,80883.0,12124.0
16,10016,2016-06-01,6437.0,2067.0
17,10016,2016-07-01,147262.0,20052.0
18,10016,2016-08-01,227680.0,23840.0
19,10016,2016-09-01,17927.0,6552.0
20,10016,2016-10-01,21359.0,9949.0
21,10016,2016-11-01,311493.0,32592.0
22,10016,2016-12-01,8474.0,2536.0
23,10016,2017-01-01,133551.0,18456.0
24,10016,2017-02-01,116866.0,12487.0
25,10016,2017-03-01,85785.0,13718.0
26,10016,2017-04-01,119385.0,14054.0
27,10016,2017-05-01,191549.0,20279.0
28,10016,2017-06-01,86182.0,37637.0
29,10016,2017-07-01,321990.0,33651.0
30,10016,2017-08-01,247421.0,48260.0
31,10016,2017-09-01,15013.0,6117.0
32,10016,2017-10-01,312655.0,53499.0
33,10016,2017-11-01,229006.0,40408.0
34,10016,2017-12-01,154066.0,31763.0
35,10016,2018-01-01,4478.0,1492.0
36,10016,2018-02-01,22314.0,12295.0
37,10016,2018-03-01,166374.0,35295.0
38,10016,2018-04-01,36473.0,21085.0
39,10016,2018-05-01,111571.0,11168.0
40,10016,2018-06-01,498383.0,64894.0
41,10016,2018-07-01,65849.0,37399.0
42,10016,2018-08-01,29697.0,18140.0
43,10016,2018-09-01,25519.0,16067.0
44,10016,2018-10-01,199.0,1107.0
45,10016,2018-11-01,22912.0,12128.0
46,10016,2018-12-01,43753.0,24588.0
47,10016,2019-01-01,43177.0,20738.0
48,10016,2019-02-01,145437.0,48108.0
49,10016,2019-03-01,26255.0,11337.0
50,10016,2019-04-01,56010.0,26601.0
51,10016,2019-05-01,55541.0,30836.0
52,10016,2019-06-01,51469.0,26491.0
53,10016,2019-07-01,13435.0,5216.0
54,10016,2019-08-01,80321.0,41213.0
55,10016,2019-09-01,15657.0,8440.0
56,10016,2019-10-01,42305.0,27342.0
57,10283,2019-05-01,36288.0,2903.0
58,10398,2015-02-01,32551.0,5212.0
59,10398,2015-03-01,38096.0,5823.0
60,10398,2015-04-01,59783.0,8421.0
61,10398,2015-05-01,29091.0,3429.0
62,10398,2015-06-01,22173.0,2717.0
63,10398,2015-07-01,60886.0,6833.0
64,10398,2015-08-01,85360.0,10248.0
65,10398,2015-09-01,47519.0,5508.0
66,10398,2015-10-01,40745.0,6189.0
67,10398,2015-11-01,31463.0,4055.0
68,10398,2015-12-01,36960.0,4744.0
69,10398,2016-01-01,54458.0,6544.0
70,10398,2016-02-01,52942.0,6452.0
71,10398,2016-03-01,62666.0,7810.0
72,10398,2016-04-01,23512.0,2897.0
73,10398,2016-05-01,79765.0,8946.0
74,10398,2016-06-01,50316.0,6113.0
75,10398,2016-07-01,49564.0,5558.0
76,10398,2016-08-01,77397.0,8118.0
77,10398,2016-09-01,65230.0,7494.0
78,10398,2016-10-01,61273.0,8500.0
79,10398,2016-11-01,57662.0,6509.0
80,10398,2016-12-01,31981.0,4172.0
81,10398,2017-01-01,102975.0,10386.0
82,10398,2017-02-01,49880.0,6617.0
83,10398,2017-03-01,49285.0,5775.0
84,10398,2017-04-01,56132.0,7388.0
85,10398,2017-05-01,63927.0,7792.0
86,10398,2017-06-01,67209.0,9571.0
87,10398,2017-07-01,29312.0,4713.0
88,10398,2017-08-01,81652.0,10843.0
89,10398,2017-09-01,49585.0,6195.0
90,10398,2017-10-01,58487.0,7354.0
91,10398,2017-11-01,132637.0,14173.0
92,10398,2017-12-01,16996.0,2219.0
93,10398,2018-01-01,160620.0,18500.0
94,10398,2018-02-01,40962.0,4751.0
95,10398,2018-03-01,63341.0,7068.0
96,10398,2018-04-01,58127.0,8614.0
97,10398,2018-05-01,126533.0,13446.0
98,10398,2018-06-01,68802.0,9284.0
99,10398,2018-07-01,97778.0,12225.0
100,10398,2018-08-01,59611.0,7472.0
101,10398,2018-09-01,61895.0,7321.0
102,10398,2018-10-01,60310.0,5847.0
103,10398,2018-11-01,21228.0,5394.0
104,10398,2018-12-01,37987.0,4865.0
105,10398,2019-01-01,112972.0,11379.0
106,10398,2019-02-01,56537.0,7853.0
107,10398,2019-03-01,57918.0,6623.0
108,10398,2019-04-01,31472.0,3495.0
109,10398,2019-05-01,103307.0,11781.0
110,10398,2019-06-01,92078.0,9701.0
111,10398,2019-07-01,82582.0,9491.0
112,10398,2019-08-01,97531.0,11285.0
113,10398,2019-09-01,64784.0,6963.0
114,10398,2019-10-01,68176.0,7547.0
115,10411,2017-08-01,1056.0,253.0
116,10411,2017-11-01,99.0,0.0
117,10411,2017-12-01,1155.0,277.0
118,10411,2018-03-01,1056.0,253.0
119,10411,2018-04-01,2112.0,507.0
120,10481,2016-06-01,5280.0,792.0
121,10481,2017-04-01,3410.0,596.0
122,10481,2017-06-01,3630.0,634.0
123,10481,2017-09-01,4620.0,795.0
124,10481,2018-01-01,9658.0,2394.0
125,10481,2018-06-01,5280.0,923.0
126,10481,2018-11-01,5555.0,971.0
127,10530,2016-08-01,2228.0,529.0
128,10539,2015-05-01,500.0,623.0
129,10539,2015-12-01,958.0,1193.0
130,10591,2015-02-01,5456.0,1685.0
131,10591,2015-08-01,-71.0,-29.0
132,10591,2015-11-01,11265.0,3414.0
133,10591,2016-03-01,2333.0,747.0
134,10591,2016-08-01,930.0,0.0
135,10591,2017-01-01,3100.0,1428.0
136,10591,2017-02-01,1121.0,415.0
137,10591,2017-05-01,924.0,314.0
138,10591,2017-06-01,2527.0,809.0
139,10591,2017-08-01,15120.0,6380.0
140,10591,2018-08-01,3720.0,1032.0
141,10591,2018-10-01,990.0,360.0
142,10591,2019-03-01,487.0,234.0
143,10591,2019-04-01,6.0,0.0
144,10594,2015-02-01,190706.0,32683.0
145,10594,2015-03-01,152417.0,18571.0
146,10594,2015-04-01,244833.0,29282.0
147,10594,2015-05-01,236641.0,34111.0
148,10594,2015-06-01,166175.0,25352.0
149,10594,2015-07-01,67762.0,9460.0
150,10594,2015-08-01,135840.0,20001.0
151,10594,2015-09-01,228631.0,36504.0
152,10594,2015-10-01,235500.0,30005.0
153,10594,2015-11-01,263541.0,18555.0
154,10594,2015-12-01,77496.0,10577.0
155,10594,2016-01-01,71424.0,10489.0
156,10594,2016-02-01,82142.0,10324.0
157,10594,2016-03-01,136555.0,16918.0
158,10594,2016-04-01,105596.0,14220.0
159,10594,2016-05-01,172193.0,26803.0
160,10594,2016-06-01,116774.0,14759.0
161,10594,2016-07-01,22646.0,4568.0
162,10594,2016-08-01,74521.0,14262.0
163,10594,2016-09-01,55900.0,8060.0
164,10594,2016-10-01,62487.0,9999.0
165,10594,2016-11-01,52407.0,6981.0
166,10594,2016-12-01,79979.0,11245.0
167,10594,2017-01-01,182177.0,19676.0
168,10594,2017-02-01,68634.0,9871.0
169,10594,2017-03-01,76737.0,11924.0
170,10594,2017-04-01,29646.0,5123.0
171,10594,2017-05-01,69284.0,11992.0
172,10594,2017-06-01,217114.0,26955.0
173,10594,2017-07-01,40639.0,5720.0
174,10594,2017-08-01,103374.0,17164.0
175,10594,2017-09-01,100616.0,14038.0
176,10594,2017-10-01,35089.0,5128.0
177,10594,2017-11-01,22211.0,3429.0
178,10594,2017-12-01,76887.0,9648.0
179,10594,2018-01-01,63926.0,7435.0
180,10594,2018-02-01,39315.0,5026.0
181,10594,2018-03-01,52426.0,6238.0
182,10594,2018-04-01,52189.0,7905.0
183,10594,2018-05-01,93792.0,10460.0
184,10594,2018-06-01,96029.0,10770.0
185,10594,2018-07-01,34813.0,4164.0
186,10594,2018-08-01,48199.0,4897.0
187,10594,2018-09-01,33344.0,3920.0
188,10594,2018-10-01,49524.0,5078.0
189,10594,2018-11-01,24007.0,2700.0
190,10594,2018-12-01,12960.0,1421.0
191,10594,2019-01-01,41712.0,3174.0
192,10594,2019-02-01,1331.0,246.0
193,10594,2019-03-01,2805.0,513.0
194,10594,2019-04-01,2475.0,1044.0
195,10594,2019-05-01,24422.0,2076.0
196,10594,2019-06-01,3631.0,1552.0
197,10594,2019-07-01,17.0,6.0
198,10594,2019-08-01,-659.0,97.0
199,10596,2015-02-01,176.0,60.0
200,10596,2015-03-01,324.0,105.0
201,10596,2015-04-01,24978.0,6084.0
202,10596,2015-06-01,1369.0,460.0
203,10596,2015-07-01,138.0,41.0
204,10596,2015-08-01,1265.0,458.0
205,10596,2015-09-01,33.0,17.0
206,10596,2015-10-01,55.0,16.0
207,10596,2015-11-01,418.0,130.0
208,10596,2016-01-01,443.0,149.0
209,10596,2016-02-01,112.0,36.0
210,10596,2016-03-01,144.0,49.0
211,10596,2016-04-01,22.0,7.0
212,10596,2016-07-01,1692.0,690.0
213,10596,2016-08-01,416.0,74.0
214,10596,2016-09-01,618.0,123.0
215,10596,2016-10-01,605.0,163.0
216,10596,2016-11-01,416.0,74.0
217,10596,2016-12-01,39.0,5.0
218,10596,2017-01-01,3752.0,868.0
219,10596,2017-02-01,720.0,216.0
220,10596,2017-03-01,861.0,285.0
221,10596,2017-04-01,596.0,126.0
222,10596,2017-05-01,220.0,57.0
223,10596,2017-06-01,525.0,144.0
224,10596,2017-07-01,1559.0,279.0
225,10596,2017-08-01,507.0,61.0
226,10596,2017-09-01,880.0,243.0
227,10596,2017-10-01,1269.0,386.0
228,10596,2017-11-01,44.0,14.0
229,10596,2017-12-01,264.0,25.0
230,10596,2018-01-01,1192.0,309.0
231,10596,2018-02-01,2684.0,503.0
232,10596,2018-03-01,2961.0,747.0
233,10596,2018-04-01,347.0,117.0
234,10596,2018-05-01,672.0,289.0
235,10596,2018-07-01,744.0,250.0
236,10596,2018-08-01,672.0,226.0
237,10596,2018-09-01,1921.0,381.0
238,10596,2018-11-01,672.0,200.0
239,10596,2019-01-01,1693.0,303.0
240,10596,2019-02-01,138.0,50.0
241,10596,2019-04-01,1089.0,195.0
242,10596,2019-05-01,1634.0,292.0
243,10596,2019-06-01,165.0,55.0
244,10596,2019-07-01,390.0,116.0
245,10596,2019-08-01,567.0,169.0
246,10596,2019-09-01,33.0,10.0
247,10596,2019-10-01,1644.0,501.0
248,10600,2015-02-01,789691.0,91499.0
249,10600,2015-03-01,462115.0,55528.0
250,10600,2015-04-01,455295.0,58851.0
251,10600,2015-05-01,611714.0,77216.0
252,10600,2015-06-01,368120.0,51763.0
253,10600,2015-07-01,500010.0,68087.0
254,10600,2015-08-01,350753.0,40169.0
255,10600,2015-09-01,554769.0,77985.0
256,10600,2015-10-01,268992.0,37764.0
257,10600,2015-11-01,426015.0,47865.0
258,10600,2015-12-01,413990.0,46057.0
259,10600,2016-01-01,251023.0,33483.0
260,10600,2016-02-01,298636.0,38064.0
261,10600,2016-03-01,229670.0,35102.0
262,10600,2016-04-01,316512.0,40811.0
263,10600,2016-05-01,157809.0,23604.0
264,10600,2016-06-01,221446.0,28538.0
265,10600,2016-07-01,280423.0,36800.0
266,10600,2016-08-01,231026.0,33705.0
267,10600,2016-09-01,183575.0,26779.0
268,10600,2016-10-01,87480.0,11070.0
269,10600,2016-11-01,149827.0,23591.0
270,10600,2016-12-01,185286.0,27744.0
271,10600,2017-01-01,409014.0,44265.0
272,10600,2017-02-01,226479.0,32805.0
273,10600,2017-03-01,397585.0,52433.0
274,10600,2017-04-01,184448.0,27828.0
275,10600,2017-05-01,337406.0,42061.0
276,10600,2017-06-01,253761.0,28574.0
277,10600,2017-07-01,240366.0,35192.0
278,10600,2017-08-01,157267.0,20944.0
279,10600,2017-09-01,189217.0,23294.0
280,10600,2017-10-01,180486.0,24352.0
281,10600,2017-11-01,192535.0,32121.0
282,10600,2017-12-01,203247.0,28739.0
283,10600,2018-01-01,220074.0,32306.0
284,10600,2018-02-01,133699.0,16516.0
285,10600,2018-03-01,284250.0,46470.0
286,10600,2018-04-01,242002.0,32830.0
287,10600,2018-05-01,203737.0,31174.0
288,10600,2018-06-01,231996.0,32178.0
289,10600,2018-07-01,182416.0,22124.0
290,10600,2018-08-01,95540.0,17684.0
291,10600,2018-09-01,158264.0,21853.0
292,10600,2018-10-01,163080.0,25544.0
293,10600,2018-11-01,92567.0,11579.0
294,10600,2018-12-01,10176.0,1282.0
295,10600,2019-01-01,20075.0,4346.0
296,10600,2019-02-01,32359.0,5773.0
