,recipient,churned
0,14569,0
1,41261,0
2,40828,0
3,14767,0
4,15160,0
5,15003,1
6,14080,1
7,40901,1
8,40107,0
9,12589,0
10,930457,0
11,940762,0
12,40911,0
13,14268,1
14,40681,0
15,14340,0
16,41809,0
17,14089,0
18,42922,0
19,19862,1
20,41476,1
21,41343,0
22,42738,0
23,14733,1
24,40836,0
25,42489,1
26,15054,0
27,41238,1
28,19903,1
29,40676,1
30,14586,0
31,41438,1
32,42151,1
33,14094,0
34,14095,1
35,42653,0
36,41295,1
37,40973,0
38,15258,1
39,40165,0
40,41353,1
41,42506,0
42,41845,1
43,14098,1
44,42561,0
45,15583,1
46,14100,0
47,14935,0
48,40920,1
49,19790,0
50,42193,1
51,41703,0
52,14103,1
53,14751,0
54,42178,0
55,41554,0
56,14111,1
57,14113,0
58,41702,0
59,42097,1
60,41210,0
61,15513,1
62,42248,0
63,40845,0
64,42532,0
65,41803,0
66,43098,0
67,41284,1
68,956118,0
69,14122,1
70,41642,0
71,41500,1
72,42063,1
73,42398,0
74,41056,1
75,43059,0
76,41119,0
77,41143,0
78,40855,0
79,41868,1
80,13593,1
81,14126,0
82,17179,1
83,42688,0
84,14128,0
85,41371,1
86,14129,0
87,14130,0
88,14606,0
89,43143,0
90,41213,0
91,15485,1
92,42087,1
93,14133,0
94,40856,0
95,14654,0
96,41537,1
97,17129,1
98,40743,0
99,42018,0
100,40848,1
101,42433,0
102,40912,1
103,42260,1
104,41729,0
105,40878,0
106,42023,1
107,40691,1
108,300163,0
109,7011015,0
110,42049,0
111,103464,0
112,42091,0
113,14107,0
114,16635,0
115,16624,1
116,41460,0
117,14138,0
118,15815,0
119,40751,0
120,40795,1
121,40866,0
122,19733,0
123,17034,0
124,40840,1
125,40138,1
126,41409,1
127,41268,1
128,41916,0
129,14141,0
130,42764,0
131,40970,1
132,14146,1
133,40927,0
134,40844,0
135,15763,1
136,40906,0
137,41158,0
138,14589,0
139,16952,0
140,41205,0
141,41282,0
142,14331,0
143,41022,0
144,41314,1
145,900018,0
146,15065,0
147,14151,0
148,14152,0
149,42589,0
150,41318,1
151,41100,0
152,14153,1
153,15353,1
154,16499,1
155,41548,0
156,42089,0
157,41917,0
158,16511,0
159,15025,1
160,41195,1
161,14154,0
162,41717,0
163,42028,1
164,41222,0
165,14330,0
166,43051,0
167,41275,0
168,41872,0
169,42529,0
170,41183,0
171,15339,0
172,14159,0
173,41166,0
174,15465,1
175,43101,0
176,15910,0
177,42562,0
178,42776,0
179,43147,0
180,7006317,1 
181,40867,0
182,42494,1
183,42546,0
184,41101,0
185,41031,0
186,15120,1
187,15886,0
188,14505,0
189,14167,0
190,40937,0
191,41499,0
192,42161,1
193,14171,0
194,14172,1
195,41547,1
196,42606,1
197,41109,0
198,40837,0
199,14173,1
200,41029,1
201,41660,0
202,16861,0
203,41645,0
204,19869,1
205,14174,0
206,41247,1
207,987004,0
208,14919,1
209,42486,0
210,40830,0
211,41076,0
212,14177,1
213,42062,0
214,43126,0
215,40767,0
216,40921,0
217,41885,0
218,14318,0
219,14178,0
220,41110,1
221,41248,0
222,40381,1
223,14209,1
224,42054,1
225,100350,0
226,14121,0
227,41342,0
228,16745,1
229,41121,1
230,41634,0
231,41146,1
232,16382,1
233,15874,0
234,40308,0
235,41054,1
236,41174,0
237,40841,0
238,41196,1
239,14186,0
240,42215,0
241,41361,1
242,14534,1
243,41161,1
244,41358,1
245,14190,1
246,14536,0
247,14193,1
248,42535,0
249,40932,1
250,42309,0
251,42090,0
252,14176,0
253,14196,0
254,14197,1
255,41144,0
256,42024,0
257,42959,0
258,42522,0
259,42051,0
260,19721,1
261,14198,1
262,41123,0
263,43088,0
264,14554,1
265,40924,0
266,14724,0
267,43022,0
268,14201,1
269,41740,0
270,14349,0
271,14202,0
272,42992,0
273,42499,0
274,40680,1
275,15194,0
276,42593,0
277,14148,0
278,42475,0
279,14205,0
280,40860,0
281,42605,1
282,14482,1
283,14211,1
284,11675,0
285,41419,0
286,41759,0
287,14213,0
288,14587,0
289,14216,0
290,15515,0
291,42183,0
292,42025,0
293,14217,0
294,42050,1
295,14220,0
296,42948,0
297,41807,0
298,42853,0
299,40709,0
300,14224,0
301,41102,0
302,14228,0
303,40875,0
304,43124,0
305,43161,0
306,14229,1
307,41300,1
308,40321,0
309,15222,0
310,41706,1
311,43132,0
312,40896,1
313,42180,0
314,40925,0
315,14234,0
316,14235,0
317,41465,0
318,40853,0
319,41116,0
320,14236,0
321,14556,1
322,43100,0
323,41727,1
324,40859,0
325,19808,0
326,15531,0
327,16198,1
328,14887,0
329,43172,0
330,14948,0
331,41173,0
332,7000483,0
333,16510,0
334,15909,0
335,40919,0
336,14332,1
337,41390,0
338,41514,1
339,42692,1
340,924029,0
341,42171,0
342,15304,0
343,41270,0
344,960422,0
345,42098,0
346,40930,0
347,41760,1
348,41169,1
349,41810,0
350,42355,0
351,41059,0
